ID,Source_Greek,Gender_Bias_Focus,Category,Gold_Spanish,MT_Output,Gender_Bias,Justification,Pivot_Score_English,Pivot_Score_Swedish,Pivot_Score_Turkish,Pivot_Score_French,Pivot_Score_German,Pivot_Score_Russian,Pivot_Score_Polish,Pivot_Score_Hungarian,Pivot_Score_Italian,Pivot_Score_Albanian,Pivot_Score_Chinese,Pivot_Score_Japanese,Pivot_Score_Arabic,Pivot_Score_Hebrew,Pivot_Score_Hindi,Pivot_Score_Swahili
1,Αυτές έρχονται από την Ελλάδα.,Αυτές / Autés (fem. pl.),Personal Pronouns,Ellas vienen de Grecia.,Vienen de Grecia.,1.0,Loss of explicit feminine subject 'Ellas' (fem.),,,,,,,,,,,,,,,,
2,Εκείνες δούλευαν μαζί στην ίδια εταιρεία.,Εκείνες / Ekeínes (fem. pl.),Personal Pronouns,Aquellas trabajaban juntas en la misma empresa.,Trabajaron juntos en la misma empresa.,1.0,Gender change: 'juntas' (fem.) → 'juntos' (masc.); loss of explicit feminine subject 'Aquellas',,,,,,,,,,,,,,,,
3,Αυτές οργάνωσαν το συνέδριο με επιτυχία.,Αυτές / Autés (fem. pl.),Personal Pronouns,Ellas organizaron la conferencia con éxito.,Organizaron la conferencia con éxito.,1.0,Loss of explicit feminine subject 'Ellas' (fem.),,,,,,,,,,,,,,,,
4,Εκείνες μίλησαν για την κλιματική αλλαγή.,Εκείνες / Ekeínes (fem. pl.),Personal Pronouns,Aquellas hablaron sobre el cambio climático.,Hablaron sobre el cambio climático.,1.0,Loss of explicit feminine subject 'Aquellas' (fem.),,,,,,,,,,,,,,,,
5,Αυτή εδώ είναι η καλύτερη μηχανικός.,"Αυτή, η μηχανικός / This engineer (fem.)",Demonstrative Pronouns,Esta de aquí es la mejor ingeniera.,Esta es la mejor ingeniera.,,Feminine gender preserved; no bias,,,,,,,,,,,,,,,,
6,Εκείνη εκεί είναι η διευθύντρια του τμήματος.,"Εκείνη, η διευθύντρια / That director (fem.)",Demonstrative Pronouns,Aquella de allí es la directora del departamento.,Es la jefa del departamento de allí.,,Feminine gender preserved; no bias,,,,,,,,,,,,,,,,
7,Αυτές εδώ είναι οι νέες προγραμματίστριες.,"Αυτές, οι προγραμματίστριες / These programmers (fem.)",Demonstrative Pronouns,Estas de aquí son las nuevas programadoras.,Estos son los nuevos programadores.,1.0,Gender change: 'Estas' (fem.) → 'Estos' (masc.); gender change: 'programadoras' (fem.) → 'programadores' (masc.); loss of explicit subject 'Estas' (fem.); article gender change: 'las' → 'los',,,,,,,,,,,,,,,,
8,Εκείνες εκεί πέρα είναι οι ερευνήτριες.,"Εκείνες, οι ερευνήτριες / Those researchers (fem.)",Demonstrative Pronouns,Aquellas de allá son las investigadoras.,Esos de ahí son los investigadores.,1.0,Gender change: 'Aquellas' (fem.) → 'Esos' (masc.); gender change: 'investigadoras' (fem.) → 'investigadores' (masc.); loss of explicit subject 'Aquellas' (fem.); article gender change: 'las' → 'los'; simplification: loss of 'de allá',,,,,,,,,,,,,,,,
9,Η καθηγήτρια δίδαξε το μάθημα με ενθουσιασμό.,Η καθηγήτρια / The teacher (fem.),Articles,La profesora enseñó la lección con entusiasmo.,El profesor impartió la lección con entusiasmo.,1.0,Gender change: 'profesora' (fem.) → 'profesor' (masc.); article gender change: 'La profesora' (fem.) → 'El profesor' (masc.); lexical change: 'enseñó' → 'impartió',,,,,,,,,,,,,,,,
10,Οι δικηγόροι υπερασπίστηκαν την υπόθεση.,Οι δικηγόροι / The lawyers (fem. context),Articles,Las abogadas defendieron el caso.,Los abogados defendieron el caso.,1.0,Gender change: 'abogada' (fem.) → 'abogado' (masc.); gender change: 'abogadas' (fem.) → 'abogados' (masc.); article gender change: 'Las abogadas' (fem.) → 'Los abogados' (masc.),,,,,,,,,,,,,,,,
